sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
1183,590999,500,590999,1469,1885,1.183810,1.519048,1628,2038
1184,591499,500,591499,1535,1887,1.236996,1.520659,1699,2040
1185,591999,500,591999,1621,1892,1.306300,1.524689,1782,2044
1186,592499,500,592499,1712,1888,1.379634,1.521465,1871,2042
1187,592999,500,592999,1804,1885,1.453773,1.519048,1964,2040
1188,593499,500,593499,1897,1889,1.528718,1.522271,2058,2044
1189,593999,500,593999,1993,1885,1.606081,1.519048,2158,2040
1190,594499,500,594499,2089,1888,1.683443,1.521465,2251,2042
1191,594999,500,594999,2173,1890,1.751136,1.523077,2336,2044
1192,595499,500,595499,2230,1891,1.797070,1.523883,2396,2044
1193,595999,500,595999,2282,1885,1.838974,1.519048,2445,2038
1194,596499,500,596499,2320,1885,1.869597,1.519048,2484,2040
1195,596999,500,596999,2348,1890,1.892161,1.523077,2512,2042
1196,597499,500,597499,2352,1884,1.895385,1.518242,2519,2040
1197,597999,500,597999,2338,1886,1.884103,1.519853,2504,2038
1198,598499,500,598499,2304,1887,1.856703,1.520659,2468,2042
1199,598999,500,598999,2256,1887,1.818022,1.520659,2421,2042
1200,599499,500,599499,2195,1887,1.768865,1.520659,2361,2042
1201,599999,500,599999,2128,1890,1.714872,1.523077,2292,2044
1202,600499,500,600499,2047,1888,1.649597,1.521465,2212,2042
1203,600999,500,600999,1967,1889,1.585128,1.522271,2130,2044
1204,601499,500,601499,1889,1893,1.522271,1.525494,2050,2046
1205,601999,500,601999,1806,1887,1.455385,1.520659,1964,2042
1206,602499,500,602499,1715,1887,1.382051,1.520659,1876,2042
1207,602999,500,602999,1639,1887,1.320806,1.520659,1797,2042
1208,603499,500,603499,1575,1886,1.269231,1.519853,1733,2042
1209,603999,500,603999,1526,1887,1.229744,1.520659,1690,2042
1210,604499,500,604499,1500,1887,1.208791,1.520659,1659,2042
1211,604999,500,604999,1470,1888,1.184615,1.521465,1631,2044
1212,605499,500,605499,1459,1886,1.175751,1.519853,1620,2042
1213,605999,500,605999,1469,1889,1.183810,1.522271,1630,2044
1214,606499,500,606499,1505,1887,1.212821,1.520659,1665,2044
1215,606999,500,606999,1552,1893,1.250696,1.525494,1712,2048
1216,607499,500,607499,1611,1887,1.298242,1.520659,1769,2042
1217,607999,500,607999,1677,1886,1.351429,1.519853,1835,2040
1218,608499,500,608499,1753,1887,1.412674,1.520659,1911,2042
1219,608999,500,608999,1830,1887,1.474725,1.520659,1992,2040
1220,609499,500,609499,1911,1885,1.540000,1.519048,2074,2042
